"","UnitID","Institution.Name","name","value","year","race","major","total","percent"
"1",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2018CP_RV..13.0000.Education..All.students.total.",14,"2018","American Indian or Alaska Native","Education",1235,0.011336032388664
"2",210429,"Western Oregon University","Asian.total..EF2018CP_RV..13.0000.Education..All.students.total.",37,"2018","Asian","Education",1235,0.0299595141700405
"3",210429,"Western Oregon University","Black.or.African.American.total..EF2018CP_RV..13.0000.Education..All.students.total.",18,"2018","Black or African American","Education",1235,0.0145748987854251
"4",210429,"Western Oregon University","Hispanic.total..EF2018CP_RV..13.0000.Education..All.students.total.",205,"2018","Hispanic","Education",1235,0.165991902834008
"5",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2018CP_RV..13.0000.Education..All.students.total.",8,"2018","Native Hawaiian or Other Pacific Islander","Education",1235,0.00647773279352227
"6",210429,"Western Oregon University","White.total..EF2018CP_RV..13.0000.Education..All.students.total.",854,"2018","White","Education",1235,0.691497975708502
"7",210429,"Western Oregon University","Two.or.more.races.total..EF2018CP_RV..13.0000.Education..All.students.total.",22,"2018","Two or more races","Education",1235,0.0178137651821862
"8",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2018CP_RV..13.0000.Education..All.students.total.",49,"2018","Race ethnicity unknown","Education",1235,0.0396761133603239
"9",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",4,"2018","American Indian or Alaska Native","Biological Sciences Life Sciences",157,0.0254777070063694
"10",210429,"Western Oregon University","Asian.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",8,"2018","Asian","Biological Sciences Life Sciences",157,0.0509554140127389
"11",210429,"Western Oregon University","Black.or.African.American.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",3,"2018","Black or African American","Biological Sciences Life Sciences",157,0.0191082802547771
"12",210429,"Western Oregon University","Hispanic.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",20,"2018","Hispanic","Biological Sciences Life Sciences",157,0.127388535031847
"13",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",4,"2018","Native Hawaiian or Other Pacific Islander","Biological Sciences Life Sciences",157,0.0254777070063694
"14",210429,"Western Oregon University","White.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",102,"2018","White","Biological Sciences Life Sciences",157,0.64968152866242
"15",210429,"Western Oregon University","Two.or.more.races.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",4,"2018","Two or more races","Biological Sciences Life Sciences",157,0.0254777070063694
"16",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2018CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",5,"2018","Race ethnicity unknown","Biological Sciences Life Sciences",157,0.0318471337579618
"17",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",0,"2018","American Indian or Alaska Native","Mathematics",21,0
"18",210429,"Western Oregon University","Asian.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",0,"2018","Asian","Mathematics",21,0
"19",210429,"Western Oregon University","Black.or.African.American.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",0,"2018","Black or African American","Mathematics",21,0
"20",210429,"Western Oregon University","Hispanic.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",1,"2018","Hispanic","Mathematics",21,0.0476190476190476
"21",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",1,"2018","Native Hawaiian or Other Pacific Islander","Mathematics",21,0.0476190476190476
"22",210429,"Western Oregon University","White.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",12,"2018","White","Mathematics",21,0.571428571428571
"23",210429,"Western Oregon University","Two.or.more.races.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",2,"2018","Two or more races","Mathematics",21,0.0952380952380952
"24",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2018CP_RV..27.0000.Mathematics..All.students.total.",3,"2018","Race ethnicity unknown","Mathematics",21,0.142857142857143
"25",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",1,"2018","American Indian or Alaska Native","Physical Sciences",75,0.0133333333333333
"26",210429,"Western Oregon University","Asian.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",4,"2018","Asian","Physical Sciences",75,0.0533333333333333
"27",210429,"Western Oregon University","Black.or.African.American.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",2,"2018","Black or African American","Physical Sciences",75,0.0266666666666667
"28",210429,"Western Oregon University","Hispanic.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",9,"2018","Hispanic","Physical Sciences",75,0.12
"29",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",1,"2018","Native Hawaiian or Other Pacific Islander","Physical Sciences",75,0.0133333333333333
"30",210429,"Western Oregon University","White.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",50,"2018","White","Physical Sciences",75,0.666666666666667
"31",210429,"Western Oregon University","Two.or.more.races.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",4,"2018","Two or more races","Physical Sciences",75,0.0533333333333333
"32",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2018CP_RV..40.0000.Physical.Sciences..All.students.total.",3,"2018","Race ethnicity unknown","Physical Sciences",75,0.04
"33",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",6,"2018","American Indian or Alaska Native","Business Management and Administrative Services",478,0.0125523012552301
"34",210429,"Western Oregon University","Asian.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",39,"2018","Asian","Business Management and Administrative Services",478,0.0815899581589958
"35",210429,"Western Oregon University","Black.or.African.American.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",27,"2018","Black or African American","Business Management and Administrative Services",478,0.0564853556485356
"36",210429,"Western Oregon University","Hispanic.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",66,"2018","Hispanic","Business Management and Administrative Services",478,0.138075313807531
"37",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",22,"2018","Native Hawaiian or Other Pacific Islander","Business Management and Administrative Services",478,0.0460251046025105
"38",210429,"Western Oregon University","White.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",225,"2018","White","Business Management and Administrative Services",478,0.47071129707113
"39",210429,"Western Oregon University","Two.or.more.races.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",19,"2018","Two or more races","Business Management and Administrative Services",478,0.0397489539748954
"40",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2018CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",23,"2018","Race ethnicity unknown","Business Management and Administrative Services",478,0.0481171548117155
"41",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2016CP_RV..13.0000.Education..All.students.total.",12,"2016","American Indian or Alaska Native","Education",1203,0.00997506234413965
"42",210429,"Western Oregon University","Asian.total..EF2016CP_RV..13.0000.Education..All.students.total.",38,"2016","Asian","Education",1203,0.0315876974231089
"43",210429,"Western Oregon University","Black.or.African.American.total..EF2016CP_RV..13.0000.Education..All.students.total.",21,"2016","Black or African American","Education",1203,0.0174563591022444
"44",210429,"Western Oregon University","Hispanic.total..EF2016CP_RV..13.0000.Education..All.students.total.",151,"2016","Hispanic","Education",1203,0.125519534497091
"45",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2016CP_RV..13.0000.Education..All.students.total.",9,"2016","Native Hawaiian or Other Pacific Islander","Education",1203,0.00748129675810474
"46",210429,"Western Oregon University","White.total..EF2016CP_RV..13.0000.Education..All.students.total.",899,"2016","White","Education",1203,0.747298420615129
"47",210429,"Western Oregon University","Two.or.more.races.total..EF2016CP_RV..13.0000.Education..All.students.total.",5,"2016","Two or more races","Education",1203,0.00415627597672485
"48",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2016CP_RV..13.0000.Education..All.students.total.",46,"2016","Race ethnicity unknown","Education",1203,0.0382377389858687
"49",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",0,"2016","American Indian or Alaska Native","Biological Sciences Life Sciences",147,0
"50",210429,"Western Oregon University","Asian.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",9,"2016","Asian","Biological Sciences Life Sciences",147,0.0612244897959184
"51",210429,"Western Oregon University","Black.or.African.American.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",5,"2016","Black or African American","Biological Sciences Life Sciences",147,0.0340136054421769
"52",210429,"Western Oregon University","Hispanic.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",16,"2016","Hispanic","Biological Sciences Life Sciences",147,0.108843537414966
"53",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",3,"2016","Native Hawaiian or Other Pacific Islander","Biological Sciences Life Sciences",147,0.0204081632653061
"54",210429,"Western Oregon University","White.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",109,"2016","White","Biological Sciences Life Sciences",147,0.741496598639456
"55",210429,"Western Oregon University","Two.or.more.races.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",0,"2016","Two or more races","Biological Sciences Life Sciences",147,0
"56",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2016CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",2,"2016","Race ethnicity unknown","Biological Sciences Life Sciences",147,0.0136054421768707
"57",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",0,"2016","American Indian or Alaska Native","Mathematics",76,0
"58",210429,"Western Oregon University","Asian.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",2,"2016","Asian","Mathematics",76,0.0263157894736842
"59",210429,"Western Oregon University","Black.or.African.American.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",0,"2016","Black or African American","Mathematics",76,0
"60",210429,"Western Oregon University","Hispanic.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",5,"2016","Hispanic","Mathematics",76,0.0657894736842105
"61",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",0,"2016","Native Hawaiian or Other Pacific Islander","Mathematics",76,0
"62",210429,"Western Oregon University","White.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",66,"2016","White","Mathematics",76,0.868421052631579
"63",210429,"Western Oregon University","Two.or.more.races.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",0,"2016","Two or more races","Mathematics",76,0
"64",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2016CP_RV..27.0000.Mathematics..All.students.total.",0,"2016","Race ethnicity unknown","Mathematics",76,0
"65",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",2,"2016","American Indian or Alaska Native","Physical Sciences",99,0.0202020202020202
"66",210429,"Western Oregon University","Asian.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",4,"2016","Asian","Physical Sciences",99,0.0404040404040404
"67",210429,"Western Oregon University","Black.or.African.American.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",3,"2016","Black or African American","Physical Sciences",99,0.0303030303030303
"68",210429,"Western Oregon University","Hispanic.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",10,"2016","Hispanic","Physical Sciences",99,0.101010101010101
"69",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",3,"2016","Native Hawaiian or Other Pacific Islander","Physical Sciences",99,0.0303030303030303
"70",210429,"Western Oregon University","White.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",67,"2016","White","Physical Sciences",99,0.676767676767677
"71",210429,"Western Oregon University","Two.or.more.races.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",0,"2016","Two or more races","Physical Sciences",99,0
"72",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2016CP_RV..40.0000.Physical.Sciences..All.students.total.",2,"2016","Race ethnicity unknown","Physical Sciences",99,0.0202020202020202
"73",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",8,"2016","American Indian or Alaska Native","Business Management and Administrative Services",588,0.0136054421768707
"74",210429,"Western Oregon University","Asian.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",40,"2016","Asian","Business Management and Administrative Services",588,0.0680272108843537
"75",210429,"Western Oregon University","Black.or.African.American.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",32,"2016","Black or African American","Business Management and Administrative Services",588,0.054421768707483
"76",210429,"Western Oregon University","Hispanic.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",71,"2016","Hispanic","Business Management and Administrative Services",588,0.120748299319728
"77",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",30,"2016","Native Hawaiian or Other Pacific Islander","Business Management and Administrative Services",588,0.0510204081632653
"78",210429,"Western Oregon University","White.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",297,"2016","White","Business Management and Administrative Services",588,0.505102040816326
"79",210429,"Western Oregon University","Two.or.more.races.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",1,"2016","Two or more races","Business Management and Administrative Services",588,0.00170068027210884
"80",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2016CP_RV..52.0000.Business.Management.and.Administrative.Services..All.students.total.",23,"2016","Race ethnicity unknown","Business Management and Administrative Services",588,0.0391156462585034
"81",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2014CP_RV..13.0000.Education..All.students.total.",14,"2014","American Indian or Alaska Native","Education",1018,0.0137524557956778
"82",210429,"Western Oregon University","Asian.total..EF2014CP_RV..13.0000.Education..All.students.total.",31,"2014","Asian","Education",1018,0.0304518664047151
"83",210429,"Western Oregon University","Black.or.African.American.total..EF2014CP_RV..13.0000.Education..All.students.total.",16,"2014","Black or African American","Education",1018,0.0157170923379175
"84",210429,"Western Oregon University","Hispanic.total..EF2014CP_RV..13.0000.Education..All.students.total.",66,"2014","Hispanic","Education",1018,0.0648330058939096
"85",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2014CP_RV..13.0000.Education..All.students.total.",11,"2014","Native Hawaiian or Other Pacific Islander","Education",1018,0.0108055009823183
"86",210429,"Western Oregon University","White.total..EF2014CP_RV..13.0000.Education..All.students.total.",801,"2014","White","Education",1018,0.786836935166994
"87",210429,"Western Oregon University","Two.or.more.races.total..EF2014CP_RV..13.0000.Education..All.students.total.",4,"2014","Two or more races","Education",1018,0.00392927308447937
"88",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2014CP_RV..13.0000.Education..All.students.total.",47,"2014","Race ethnicity unknown","Education",1018,0.0461689587426326
"89",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",4,"2014","American Indian or Alaska Native","Biological Sciences Life Sciences",192,0.0208333333333333
"90",210429,"Western Oregon University","Asian.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",11,"2014","Asian","Biological Sciences Life Sciences",192,0.0572916666666667
"91",210429,"Western Oregon University","Black.or.African.American.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",5,"2014","Black or African American","Biological Sciences Life Sciences",192,0.0260416666666667
"92",210429,"Western Oregon University","Hispanic.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",26,"2014","Hispanic","Biological Sciences Life Sciences",192,0.135416666666667
"93",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",3,"2014","Native Hawaiian or Other Pacific Islander","Biological Sciences Life Sciences",192,0.015625
"94",210429,"Western Oregon University","White.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",124,"2014","White","Biological Sciences Life Sciences",192,0.645833333333333
"95",210429,"Western Oregon University","Two.or.more.races.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",2,"2014","Two or more races","Biological Sciences Life Sciences",192,0.0104166666666667
"96",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2014CP_RV..26.0000.Biological.Sciences.Life.Sciences..All.students.total.",10,"2014","Race ethnicity unknown","Biological Sciences Life Sciences",192,0.0520833333333333
"97",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",2,"2014","American Indian or Alaska Native","Mathematics",52,0.0384615384615385
"98",210429,"Western Oregon University","Asian.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",3,"2014","Asian","Mathematics",52,0.0576923076923077
"99",210429,"Western Oregon University","Black.or.African.American.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",2,"2014","Black or African American","Mathematics",52,0.0384615384615385
"100",210429,"Western Oregon University","Hispanic.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",3,"2014","Hispanic","Mathematics",52,0.0576923076923077
"101",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",0,"2014","Native Hawaiian or Other Pacific Islander","Mathematics",52,0
"102",210429,"Western Oregon University","White.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",38,"2014","White","Mathematics",52,0.730769230769231
"103",210429,"Western Oregon University","Two.or.more.races.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",0,"2014","Two or more races","Mathematics",52,0
"104",210429,"Western Oregon University","Race.ethnicity.unknown.total..EF2014CP_RV..27.0000.Mathematics..All.students.total.",1,"2014","Race ethnicity unknown","Mathematics",52,0.0192307692307692
"105",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",2,"2014","American Indian or Alaska Native","Physical Sciences",81,0.0246913580246914
"106",210429,"Western Oregon University","Asian.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",2,"2014","Asian","Physical Sciences",81,0.0246913580246914
"107",210429,"Western Oregon University","Black.or.African.American.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",4,"2014","Black or African American","Physical Sciences",81,0.0493827160493827
"108",210429,"Western Oregon University","Hispanic.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",1,"2014","Hispanic","Physical Sciences",81,0.0123456790123457
"109",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",2,"2014","Native Hawaiian or Other Pacific Islander","Physical Sciences",81,0.0246913580246914
"110",210429,"Western Oregon University","White.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",58,"2014","White","Physical Sciences",81,0.716049382716049
"111",210429,"Western Oregon University","Two.or.more.races.total..EF2014CP_RV..40.0000.Physical.Sciences..All.students.total.",0,"2014","Two or more races","Physical Sciences",81,0
