"","UnitID","Institution.Name","name","value","year","race","total","percent"
"1",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",9,"2019","American Indian or Alaska Native",339,0.0265486725663717
"2",210429,"Western Oregon University","Asian.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",21,"2019","Asian",339,0.0619469026548673
"3",210429,"Western Oregon University","Black.or.African.American.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",15,"2019","Black or African American",339,0.0442477876106195
"4",210429,"Western Oregon University","Hispanic.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",21,"2019","Hispanic",339,0.0619469026548673
"5",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",15,"2019","Native Hawaiian or Other Pacific Islander",339,0.0442477876106195
"6",210429,"Western Oregon University","White.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",232,"2019","White",339,0.684365781710914
"7",210429,"Western Oregon University","Two.or.more.races.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",1,"2019","Two or more races",339,0.00294985250737463
"8",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2019..4.year.institutions..Completers.within.150..of.normal.time.",16,"2019","Race ethnicity unknown",339,0.0471976401179941
"9",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",5,"2018","American Indian or Alaska Native",400,0.0125
"10",210429,"Western Oregon University","Asian.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",22,"2018","Asian",400,0.055
"11",210429,"Western Oregon University","Black.or.African.American.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",18,"2018","Black or African American",400,0.045
"12",210429,"Western Oregon University","Hispanic.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",38,"2018","Hispanic",400,0.095
"13",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",14,"2018","Native Hawaiian or Other Pacific Islander",400,0.035
"14",210429,"Western Oregon University","White.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",262,"2018","White",400,0.655
"15",210429,"Western Oregon University","Two.or.more.races.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",0,"2018","Two or more races",400,0
"16",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2018_RV..4.year.institutions..Completers.within.150..of.normal.time.",27,"2018","Race ethnicity unknown",400,0.0675
"17",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2017_RV..4.year.institutions..Completers.within.150..of.normal.time.",4,"2017","American Indian or Alaska Native",426,0.00938967136150235
"18",210429,"Western Oregon University","Asian.total..GR2017_RV..4.year.institutions..Completers.within.150..of.normal.time.",16,"2017","Asian",426,0.0375586854460094
"19",210429,"Western Oregon University","Black.or.African.American.total..GR2017_RV..4.year.institutions..Completers.within.150..of.normal.time.",10,"2017","Black or African American",426,0.0234741784037559
"20",210429,"Western Oregon University","Hispanic.total..GR2017_RV..4.year.institutions..Completers.within.150..of.normal.time.",70,"2017","Hispanic",426,0.164319248826291
"21",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2017_RV..4.year.institutions..Completers.within.150..of.normal.time.",13,"2017","Native Hawaiian or Other Pacific Islander",426,0.0305164319248826
