"","UnitID","Institution.Name","name","value","year","race","total","percent"
"1",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",22,"2019","American Indian or Alaska Native",826,0.026634382566586
"2",210429,"Western Oregon University","Asian.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",40,"2019","Asian",826,0.0484261501210654
"3",210429,"Western Oregon University","Black.or.African.American.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",47,"2019","Black or African American",826,0.0569007263922518
"4",210429,"Western Oregon University","Hispanic.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",52,"2019","Hispanic",826,0.062953995157385
"5",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",38,"2019","Native Hawaiian or Other Pacific Islander",826,0.0460048426150121
"6",210429,"Western Oregon University","White.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",560,"2019","White",826,0.677966101694915
"7",210429,"Western Oregon University","Two.or.more.races.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",1,"2019","Two or more races",826,0.00121065375302663
"8",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2019..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",34,"2019","Race ethnicity unknown",826,0.0411622276029056
"9",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",22,"2018","American Indian or Alaska Native",998,0.0220440881763527
"10",210429,"Western Oregon University","Asian.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",51,"2018","Asian",998,0.0511022044088176
"11",210429,"Western Oregon University","Black.or.African.American.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",64,"2018","Black or African American",998,0.064128256513026
"12",210429,"Western Oregon University","Hispanic.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",88,"2018","Hispanic",998,0.0881763527054108
"13",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",43,"2018","Native Hawaiian or Other Pacific Islander",998,0.0430861723446894
"14",210429,"Western Oregon University","White.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",653,"2018","White",998,0.654308617234469
"15",210429,"Western Oregon University","Two.or.more.races.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",0,"2018","Two or more races",998,0
"16",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2018_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",53,"2018","Race ethnicity unknown",998,0.0531062124248497
"17",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",23,"2017","American Indian or Alaska Native",979,0.0234933605720123
"18",210429,"Western Oregon University","Asian.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",36,"2017","Asian",979,0.0367722165474974
"19",210429,"Western Oregon University","Black.or.African.American.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",32,"2017","Black or African American",979,0.0326864147088866
"20",210429,"Western Oregon University","Hispanic.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",132,"2017","Hispanic",979,0.134831460674157
"21",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",32,"2017","Native Hawaiian or Other Pacific Islander",979,0.0326864147088866
"22",210429,"Western Oregon University","White.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",686,"2017","White",979,0.700715015321757
"23",210429,"Western Oregon University","Two.or.more.races.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",1,"2017","Two or more races",979,0.00102145045965271
"24",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2017_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",26,"2017","Race ethnicity unknown",979,0.0265577119509704
"25",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",18,"2016","American Indian or Alaska Native",1039,0.0173243503368624
"26",210429,"Western Oregon University","Asian.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",27,"2016","Asian",1039,0.0259865255052935
"27",210429,"Western Oregon University","Black.or.African.American.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",43,"2016","Black or African American",1039,0.041385948026949
"28",210429,"Western Oregon University","Hispanic.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",151,"2016","Hispanic",1039,0.145332050048123
"29",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",17,"2016","Native Hawaiian or Other Pacific Islander",1039,0.0163618864292589
"30",210429,"Western Oregon University","White.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",722,"2016","White",1039,0.694898941289702
"31",210429,"Western Oregon University","Two.or.more.races.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",30,"2016","Two or more races",1039,0.0288739172281039
"32",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2016_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",9,"2016","Race ethnicity unknown",1039,0.00866217516843118
"33",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",15,"2015","American Indian or Alaska Native",933,0.0160771704180064
"34",210429,"Western Oregon University","Asian.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",20,"2015","Asian",933,0.0214362272240086
"35",210429,"Western Oregon University","Black.or.African.American.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",33,"2015","Black or African American",933,0.0353697749196141
"36",210429,"Western Oregon University","Hispanic.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",105,"2015","Hispanic",933,0.112540192926045
"37",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",19,"2015","Native Hawaiian or Other Pacific Islander",933,0.0203644158628081
"38",210429,"Western Oregon University","White.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",691,"2015","White",933,0.740621650589496
"39",210429,"Western Oregon University","Two.or.more.races.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",29,"2015","Two or more races",933,0.0310825294748124
"40",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2015_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",10,"2015","Race ethnicity unknown",933,0.0107181136120043
"41",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",15,"2014","American Indian or Alaska Native",882,0.0170068027210884
"42",210429,"Western Oregon University","Asian.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",45,"2014","Asian",882,0.0510204081632653
"43",210429,"Western Oregon University","Black.or.African.American.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",25,"2014","Black or African American",882,0.0283446712018141
"44",210429,"Western Oregon University","Hispanic.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",79,"2014","Hispanic",882,0.0895691609977324
"45",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",0,"2014","Native Hawaiian or Other Pacific Islander",882,0
"46",210429,"Western Oregon University","White.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",658,"2014","White",882,0.746031746031746
"47",210429,"Western Oregon University","Two.or.more.races.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",0,"2014","Two or more races",882,0
"48",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2014_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",32,"2014","Race ethnicity unknown",882,0.036281179138322
"49",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",13,"2013","American Indian or Alaska Native",916,0.0141921397379913
"50",210429,"Western Oregon University","Asian.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",50,"2013","Asian",916,0.0545851528384279
"51",210429,"Western Oregon University","Black.or.African.American.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",17,"2013","Black or African American",916,0.0185589519650655
"52",210429,"Western Oregon University","Hispanic.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",104,"2013","Hispanic",916,0.11353711790393
"53",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",0,"2013","Native Hawaiian or Other Pacific Islander",916,0
"54",210429,"Western Oregon University","White.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",679,"2013","White",916,0.741266375545852
"55",210429,"Western Oregon University","Two.or.more.races.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",0,"2013","Two or more races",916,0
"56",210429,"Western Oregon University","Race.ethnicity.unknown.total..GR2013_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",24,"2013","Race ethnicity unknown",916,0.0262008733624454
"57",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..GR2012_RV..4.year.institutions..Adjusted.cohort..revised.cohort.minus.exclusions..",14,"2012","American Indian or Alaska Native",750,0.0186666666666667
