"","UnitID","Institution.Name","name","value","year","race","total","percent"
"1",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..C2019_B.",20,"2019","American Indian or Alaska Native",1295,0.0154440154440154
"2",210429,"Western Oregon University","Asian.total..C2019_B.",41,"2019","Asian",1295,0.0316602316602317
"3",210429,"Western Oregon University","Black.or.African.American.total..C2019_B.",32,"2019","Black or African American",1295,0.0247104247104247
"4",210429,"Western Oregon University","Hispanic.or.Latino.total..C2019_B.",160,"2019","Hispanic",1295,0.123552123552124
"5",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..C2019_B.",25,"2019","Native Hawaiian or Other Pacific Islander",1295,0.0193050193050193
"6",210429,"Western Oregon University","White.total..C2019_B.",798,"2019","White",1295,0.616216216216216
"7",210429,"Western Oregon University","Two.or.more.races.total..C2019_B.",4,"2019","Two or more races",1295,0.00308880308880309
"8",210429,"Western Oregon University","Race.ethnicity.unknown.total..C2019_B.",55,"2019","Race ethnicity unknown",1295,0.0424710424710425
"9",210429,"Western Oregon University","American.Indian.or.Alaska.Native.total..C2018_B_RV.",20,"2018","American Indian or Alaska Native",1227,0.0162999185004075
"10",210429,"Western Oregon University","Asian.total..C2018_B_RV.",38,"2018","Asian",1227,0.0309698451507742
"11",210429,"Western Oregon University","Black.or.African.American.total..C2018_B_RV.",30,"2018","Black or African American",1227,0.0244498777506112
"12",210429,"Western Oregon University","Hispanic.or.Latino.total..C2018_B_RV.",126,"2018","Hispanic",1227,0.102689486552567
"13",210429,"Western Oregon University","Native.Hawaiian.or.Other.Pacific.Islander.total..C2018_B_RV.",21,"2018","Native Hawaiian or Other Pacific Islander",1227,0.0171149144254279
"14",210429,"Western Oregon University","White.total..C2018_B_RV.",839,"2018","White",1227,0.683781581092095
"15",210429,"Western Oregon University","Two.or.more.races.total..C2018_B_RV.",3,"2018","Two or more races",1227,0.00244498777506112
